标题链接,y,r_链接,r,zy2
"【脱贫攻坚 交大足迹】选调生杨开悦：不忘初心 做扶贫路上的“花木兰”
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130158.htm,12,在她的内心始终奔腾着“到西部去，到基层去，到祖国最需要的地方去”这一口号，她的脑海始终澎湃着“胸怀大局、无私奉献、弘扬传统、艰苦创业”的西迁精神。她在毕业时，毅然扎根西部，成为脱贫攻坚最前线的“花木兰”。她叫杨开悦，西安交通大学2018届选...
"江西省委教育工委率团到访中国西部科技创新港
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130145.htm,12,3月12日上午，江西省委教育工委宣传部（省教育厅社政处）牵头负责人魏建克，南昌大学、江西师范大学、江西财经大学、江西农业大学、江西理工大学、东华理工大学、江西教育传媒集团等单位负责人共11人到访中国西部科技创新港，调研融媒体中心建设工作。西安...
"【文明巡礼】彭康书院：凝思想共识 建宜居彭康 铸文明之花
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130115.htm,12,彭康书院全面落实立德树人根本任务，坚持价值引领、贴近师生、注重实效、广泛参与，以思想道德建设为主线，以领导班子建设和师德师风建设为重点，着力从校园文化、校园环境和活动阵地三个层面开展文明校园创建工作，努力探索文明校园创建的特色做法和有效...
"卢建军调研学科办、科研院
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130107.htm,12, 3月10日，校党委书记卢建军与学科办、科研院部门负责人及部分教师代表座谈交流，调研、推进学科建设和科研管理工作。会上，学科办主任别朝红、科研院常务副院长黄忠德分别介绍了西安交大学科建设的历程、评估体系、学科布局、发展思路及学校整体科研管理...
"【校友建功立业风采】李晋闽：追光逐梦几万里
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130101.htm,12,李晋闽，1978-1982年就读于西安交通大学半导体专业，获学士学位。现任中国科学院半导体研究所所长。获2019年度国家科学技术奖、2020年度“何梁何利基金科学与技术奖”。李晋闽在第一届紫外LED长治国际会议暨长治LED产业发展峰会上发言手捧获奖证书的李晋闽...
"渭南市党政代表团来校推进合作
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130104.htm,12,3月11日下午，渭南市委书记魏建锋、市长王琳率队来中国西部科技创新港召开座谈会。会前，校党委书记卢建军会见了代表团成员。校党委常委、副校长王铁军出席座谈会，校党委常委、校长助理洪军主持座谈，双方围绕进一步深化校地协作落地做实进行了深入交流。...
"西安交大超柔性多铁性复合薄膜研究取得重大进展
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130110.htm,12,柔性电子以优异的超柔性和延展性，不仅应用于便携式可穿戴设备，更是在医疗设备、军事等领域有着广阔的应用前景。因此，迫切需要研究更多的柔性功能性材料。其中，以功能性氧化物为基础的多铁性复合材料，具有复杂的多自由度和多序参量的耦合效应，从而表...
"西安交大教务处获评2020年度陕西高等学校教学管理先进集体
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130119.htm,12,日前，陕西省教育厅发出《关于表彰2020年陕西高等学校教学管理工作先进集体和先进个人的通报》，西安交通大学教务处获评“2020年度陕西高等学校教学管理先进集体”。《通报》指出，2020年，我省高校坚定不移地贯彻落实习近平新时代中国特色社会主义思想，...
"【学科前瞻三十年】赵永涛：前瞻布局物理学科 实现大国创新引擎全面升级
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130088.htm,11,物理学是研究一切物质最基本的运动形式和规律的科学，不仅对客观世界的内在联系和运动变化规律进行了最深刻的揭示，同时建立和形成了一套卓有成效的唯物主义思想方法体系。物理学作为最重要的基础学科，为科技革命提供源头性供给，是新时代国家发展的重大...
"强强联合 “6352”工程建设进行时（一）
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130084.htm,11,为深入学习贯彻习近平总书记来陕考察重要讲话精神，落实“围绕产业链部署创新链、围绕创新链布局产业链”要求，西安交大推进“6352”工程，聚力将创新港打造成为陕西最大的孵化器和科技成果转化“特区”。“6352”工程，即“政产学研用金”6进创新港，建设...
